x1,y1, z1, x2,y2,z2
-1.99566, 90.8648, 175.376, 118.426, -113.249, 72.7202
0.257907, 91.5696, 175.727, 119.524, -113.346, 73.1787
2.51146, 92.2686, 176.074, 120.612, -113.434, 73.6396
4.76484, 92.9617, 176.416, 121.69, -113.512, 74.1026
7.01792, 93.6488, 176.752, 122.757, -113.58, 74.5679
9.27055, 94.3298, 177.084, 123.814, -113.639, 75.0354
11.5226, 95.0046, 177.411, 124.86, -113.687, 75.5049
13.7738, 95.6731, 177.732, 125.895, -113.727, 75.9766
16.0242, 96.3353, 178.049, 126.92, -113.756, 76.4504
18.2734, 96.991, 178.36, 127.933, -113.775, 76.9262
20.5215, 97.6402, 178.666, 128.936, -113.785, 77.4041
22.7681, 98.2827, 178.966, 129.927, -113.784, 77.8839
25.0132, 98.9185, 179.261, 130.907, -113.774, 78.3656
27.2565, 99.5474, 179.551, 131.875, -113.753, 78.8493
29.4979, 100.169, 179.835, 132.831, -113.722, 79.3348
31.7373, 100.784, 180.113, 133.776, -113.682, 79.8222
33.9744, 101.392, 180.386, 134.709, -113.631, 80.3113
36.209, 101.992, 180.653, 135.629, -113.57, 80.8023
38.441, 102.585, 180.914, 136.538, -113.498, 81.2949
40.6703, 103.171, 181.169, 137.434, -113.417, 81.7893
42.8965, 103.749, 181.418, 138.318, -113.325, 82.2853
45.1195, 104.319, 181.662, 139.189, -113.223, 82.7829
47.3391, 104.881, 181.899, 140.047, -113.111, 83.282
49.5552, 105.436, 182.129, 140.893, -112.988, 83.7827
51.7674, 105.982, 182.354, 141.726, -112.855, 84.2849
53.9757, 106.52, 182.572, 142.546, -112.712, 84.7885
56.1797, 107.05, 182.784, 143.352, -112.558, 85.2935
58.3794, 107.572, 182.989, 144.146, -112.394, 85.7999
60.5743, 108.085, 183.187, 144.926, -112.219, 86.3076
62.7645, 108.589, 183.379, 145.693, -112.035, 86.8166
64.9495, 109.084, 183.564, 146.446, -111.839, 87.3267
67.1293, 109.571, 183.743, 147.185, -111.633, 87.8381
69.3035, 110.048, 183.914, 147.911, -111.417, 88.3506
71.4719, 110.517, 184.079, 148.623, -111.19, 88.8642
73.6344, 110.976, 184.236, 149.321, -110.953, 89.3788
75.7906, 111.425, 184.386, 150.004, -110.706, 89.8945
77.9403, 111.865, 184.529, 150.674, -110.448, 90.4111
80.0833, 112.296, 184.665, 151.33, -110.179, 90.9286
82.2194, 112.717, 184.794, 151.971, -109.901, 91.4469
84.3482, 113.128, 184.915, 152.597, -109.611, 91.9661
86.4696, 113.528, 185.028, 153.21, -109.312, 92.4861
88.5832, 113.919, 185.134, 153.807, -109.001, 93.0067
90.6889, 114.299, 185.232, 154.39, -108.681, 93.528
